Index_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,State Type,Functional,Expression,Engineer,Table_Name,Spatial_Index,Spatial_Layer_Type,Geodetic_Index,Number_Of_Dimensions
"Model__UN",E41D50E1-D982-BF18-1326-02C2453A8D9B,91,,456FD8B5-4D57-9C58-A978-D22766AAF882,81,Unique Constraint,,N,Y,"Model",N,,,,
"Model_PK",E192A137-BC68-DF8E-67AD-9B7305C005C3,92,,456FD8B5-4D57-9C58-A978-D22766AAF882,81,Primary Constraint,,N,Y,"Model",N,,,,
"Table__UN",99B86BAF-3116-EF27-6128-750DA06B3D1B,93,,50CCA7D9-BEA0-265D-B9EF-BA4507C49159,82,Unique Constraint,,N,Y,"Table",N,,,,
"Table_PK",D1F67055-0721-949E-1733-9D56D006DFEC,94,,50CCA7D9-BEA0-265D-B9EF-BA4507C49159,82,Primary Constraint,,N,Y,"Table",N,,,,
"Term_name_UN",69DA05B4-4B32-5DEA-1F21-F0792AFC2A4A,95,,3B9EF03C-8F0E-D5E0-471A-D26F15323E12,83,Unique Constraint,,N,Y,"Term",N,,,,
"Term_PK",49F3AC1E-D9CF-4CDB-03F3-92FD2DA7B14A,96,,3B9EF03C-8F0E-D5E0-471A-D26F15323E12,83,Primary Constraint,,N,Y,"Term",N,,,,
"Model_Term_FK",D039F4A6-972A-5047-DC07-0616340ED590,97,,456FD8B5-4D57-9C58-A978-D22766AAF882,81,Foreign Key,,N,Y,"Model",N,,,,
"Table_Model_FK",4C83820B-FA20-8A75-A68D-1FC6B8207106,98,,50CCA7D9-BEA0-265D-B9EF-BA4507C49159,82,Foreign Key,,N,Y,"Table",N,,,,
"Table_Term_FK",01182698-0C5C-2EF4-0A69-DA786797869E,99,,50CCA7D9-BEA0-265D-B9EF-BA4507C49159,82,Foreign Key,,N,Y,"Table",N,,,,
"Model__UN",00D16B42-3357-4E02-1254-38ED2E6A5279,129,,8B58FDA0-E96F-3946-91E4-7509AA851A02,105,Unique Constraint,,N,Y,"Model_Name",N,,,,
"Model_PK",B6C05D76-1E88-A983-4081-4DB6C5F62F34,121,,38FF1D5D-8F88-7A43-2408-067EDD4E985A,104,Primary Constraint,,N,Y,"Model",N,,,,
"Table__UN",92CFBE27-681D-FE56-199C-04C7A3B624CE,134,,0EB785C5-ED3E-9BBA-4D30-1BC6D6A8DD04,107,Unique Constraint,,N,Y,"Table_Name",N,,,,
"Table_PK",5E847F93-17AF-374F-9A25-FC04AC597D8D,123,,9C277520-57DE-C2C8-23A5-25352DEB9D5E,106,Primary Constraint,,N,Y,"Table",N,,,,
"Term_name_UN",1854E957-A7D7-BBAC-A8A0-C4C67F35DF3C,137,,544623FE-78A9-35AB-497F-78B1F40AC858,109,Unique Constraint,,N,Y,"Term_Name",N,,,,
"Term_PK",1F01DCB8-1939-A337-98F1-8B0327CE1B65,125,,AB6579B6-C6D7-7300-D635-2BB6E9208D56,108,Primary Constraint,,N,Y,"Term",N,,,,
"FK_ASS_4",7C285B69-2BF6-D9E2-EF2D-E149858FCD33,126,,8B58FDA0-E96F-3946-91E4-7509AA851A02,105,Foreign Key,,N,Y,"Model_Name",N,,,,
"Model_Name_PK",BF4D2694-6B99-B677-B35C-F89B4BA3F544,127,,8B58FDA0-E96F-3946-91E4-7509AA851A02,105,Primary Constraint,,N,Y,"Model_Name",N,,,,
"Model_Term_FKv1",1F1B6D55-42E6-6906-7FE8-7AD091C8E996,128,,8B58FDA0-E96F-3946-91E4-7509AA851A02,105,Foreign Key,,N,Y,"Model_Name",N,,,,
"Model__UN",00D16B42-3357-4E02-1254-38ED2E6A5279,129,,8B58FDA0-E96F-3946-91E4-7509AA851A02,105,Unique Constraint,,N,Y,"Model_Name",N,,,,
"FK_ASS_5",06191554-CD0D-7FD6-4E81-93218C560F13,130,,0EB785C5-ED3E-9BBA-4D30-1BC6D6A8DD04,107,Foreign Key,,N,Y,"Table_Name",N,,,,
"Table_Name_PK",ACBF8E86-9715-BB95-3735-C391B5DB998B,131,,0EB785C5-ED3E-9BBA-4D30-1BC6D6A8DD04,107,Primary Constraint,,N,Y,"Table_Name",N,,,,
"Table_Model_FKv1",7AA41757-94CD-4ADD-87F7-75EBB98641BD,132,,0EB785C5-ED3E-9BBA-4D30-1BC6D6A8DD04,107,Foreign Key,,N,Y,"Table_Name",N,,,,
"Table_Term_FKv1",434CD8AD-DAFD-65B4-5AE5-5799CCB16CF4,133,,0EB785C5-ED3E-9BBA-4D30-1BC6D6A8DD04,107,Foreign Key,,N,Y,"Table_Name",N,,,,
"Table__UN",92CFBE27-681D-FE56-199C-04C7A3B624CE,134,,0EB785C5-ED3E-9BBA-4D30-1BC6D6A8DD04,107,Unique Constraint,,N,Y,"Table_Name",N,,,,
"FK_ASS_6",B253E865-1E49-C4DA-1210-AE4FB963AC2B,135,,544623FE-78A9-35AB-497F-78B1F40AC858,109,Foreign Key,,N,Y,"Term_Name",N,,,,
"Term_Name_PK",D1E74666-7E16-F73D-5955-19F1D082F20C,136,,544623FE-78A9-35AB-497F-78B1F40AC858,109,Primary Constraint,,N,Y,"Term_Name",N,,,,
"Term_name_UN",1854E957-A7D7-BBAC-A8A0-C4C67F35DF3C,137,,544623FE-78A9-35AB-497F-78B1F40AC858,109,Unique Constraint,,N,Y,"Term_Name",N,,,,
